latitude,longitude,is_green
32.889129,-117.231922,1
32.889117,-117.255258,1
32.889117,-117.229954,1
32.889105,-117.250203,1
32.889105,-117.2296,1
32.889094,-117.241665,1
32.889094,-117.22851,1
32.889082,-117.236312,1
32.88907,-117.256405,1
32.88907,-117.233721,1
32.889059,-117.25557,1
32.889059,-117.229685,1
32.889047,-117.241849,1
32.889035,-117.256773,1
32.889035,-117.235505,1
32.889023,-117.256264,1
32.889023,-117.232531,1
32.889012,-117.255145,1
32.889012,-117.229586,1
32.889,-117.241509,1
32.888988,-117.256929,1
32.888988,-117.235831,1
32.888977,-117.256377,1
32.888977,-117.234117,1
32.888965,-117.255768,1
32.888965,-117.231328,1
32.888953,-117.24175,1
32.888941,-117.256915,1
32.888941,-117.235901,1
32.88893,-117.256179,1
32.88893,-117.23222,1
32.888918,-117.242642,1
32.888906,-117.256858,1
32.888906,-117.234089,1
32.888895,-117.255598,1
32.888895,-117.230251,1
32.888883,-117.240107,1
32.888871,-117.256887,1
32.888871,-117.235108,1
32.888859,-117.256165,1
32.888859,-117.232234,1
32.888848,-117.254989,1
32.888848,-117.229982,1
32.888836,-117.239144,1
32.888824,-117.256901,1
32.888824,-117.235165,1
32.888812,-117.255839,1
32.888812,-117.231271,1
32.888801,-117.242401,1
32.888801,-117.229784,1
32.888789,-117.238436,1
32.888777,-117.256844,1
32.888777,-117.234811,1
32.888766,-117.256193,1
32.888766,-117.233707,1
32.888754,-117.255796,1
32.888754,-117.230025,1
32.888742,-117.239895,1
32.888742,-117.228623,1
32.88873,-117.235462,1
32.888719,-117.25632,1
32.888719,-117.233069,1
32.888707,-117.255131,1
32.888707,-117.230464,1
32.888695,-117.254819,1
32.888695,-117.22994,1
32.888684,-117.24039,1
32.888672,-117.256717,1
32.888672,-117.234315,1
32.88866,-117.256165,1
32.88866,-117.23154,1
32.888648,-117.25489,1
32.888648,-117.230251,1
32.888637,-117.23634,1
32.888625,-117.256278,1
32.888625,-117.230549,1
32.888613,-117.242231,1
32.888602,-117.256646,1
32.888602,-117.231653,1
32.88859,-117.254961,1
32.88859,-117.229204,1
32.888578,-117.23651,1
32.888566,-117.256788,1
32.888566,-117.23474,1
32.888555,-117.256363,1
32.888555,-117.231696,1
32.888543,-117.255924,1
32.888543,-117.231044,1
32.888531,-117.255796,1
32.888531,-117.231342,1
32.88852,-117.25574,1
32.88852,-117.230733,1
32.888508,-117.255131,1
32.888508,-117.230549,1
32.888496,-117.25506,1
32.888496,-117.230379,1
32.888484,-117.25489,1
32.888484,-117.229798,1
32.888473,-117.242613,1
32.888473,-117.228666,1
32.888461,-117.239172,1
32.888449,-117.25649,1
32.888449,-117.231044,1
32.888438,-117.25591,1
32.888438,-117.230365,1
32.888426,-117.254933,1
32.888426,-117.229798,1
32.888414,-117.242656,1
32.888402,-117.256986,1
32.888402,-117.232701,1
32.888391,-117.255995,1
32.888391,-117.230124,1
32.888379,-117.242627,1
32.888379,-117.228651,1
32.888367,-117.233933,1
32.888355,-117.256292,1
32.888355,-117.230521,1
32.888344,-117.254947,1
32.888344,-117.229685,1
32.888332,-117.240107,1
32.888332,-117.228666,1
32.88832,-117.239158,1
32.888309,-117.256929,1
32.888309,-117.2361,1
32.888297,-117.256972,1
32.888297,-117.235944,1
32.888285,-117.256731,1
32.888285,-117.235363,1
32.888273,-117.256759,1
32.888273,-117.233409,1
32.888262,-117.256235,1
32.888262,-117.230889,1
32.88825,-117.256122,1
32.88825,-117.230535,1
32.888238,-117.255683,1
32.888238,-117.230506,1
32.888227,-117.255782,1
32.888227,-117.230478,1
32.888215,-117.255839,1
32.888215,-117.230549,1
32.888203,-117.255853,1
32.888203,-117.230124,1
32.888191,-117.24301,1
32.888191,-117.229954,1
32.88818,-117.242727,1
32.88818,-117.22943,1
32.888168,-117.240164,1
32.888156,-117.256688,1
32.888156,-117.235406,1
32.888145,-117.255683,1
32.888145,-117.22943,1
32.888133,-117.240277,1
32.888121,-117.256504,1
32.888121,-117.229954,1
32.888109,-117.246536,1
32.888098,-117.256887,1
32.888098,-117.238974,1
32.888086,-117.255612,1
32.888086,-117.228113,1
32.888074,-117.23913,1
32.888063,-117.255584,1
32.888063,-117.228071,1
32.888051,-117.239102,1
32.888039,-117.247357,1
32.888039,-117.228042,1
32.888027,-117.239215,1
32.888016,-117.255612,1
32.888016,-117.228113,1
32.888004,-117.239073,1
32.887992,-117.254451,1
32.887992,-117.229034,1
32.88798,-117.239979,1
32.887969,-117.255754,1
32.887969,-117.228765,1
32.887957,-117.239625,1
32.887945,-117.251138,1
32.887945,-117.228156,1
32.887934,-117.240192,1
32.887922,-117.254522,1
32.887922,-117.228991,1
32.88791,-117.242741,1
32.887898,-117.255995,1
32.887898,-117.229614,1
32.887887,-117.245969,1
32.887875,-117.25632,1
32.887875,-117.235448,1
32.887863,-117.246111,1
32.887852,-117.256179,1
32.887852,-117.235944,1
32.88784,-117.246366,1
32.887828,-117.256618,1
32.887828,-117.240178,1
32.887816,-117.254833,1
32.887816,-117.229657,1
32.887805,-117.246167,1
32.887793,-117.256674,1
32.887793,-117.240475,1
32.887781,-117.255995,1
32.887781,-117.235788,1
32.88777,-117.246479,1
32.88777,-117.22892,1
32.887758,-117.245672,1
32.887746,-117.25625,1
32.887746,-117.237487,1
32.887734,-117.246451,1
32.887723,-117.25666,1
32.887723,-117.239838,1
32.887711,-117.248037,1
32.887711,-117.232191,1
32.887699,-117.245969,1
32.887688,-117.256504,1
32.887688,-117.241778,1
32.887676,-117.255839,1
32.887676,-117.239144,1
32.887664,-117.246677,1
32.887664,-117.229869,1
32.887652,-117.245686,1
32.887641,-117.256504,1
32.887641,-117.242812,1
32.887629,-117.255768,1
32.887629,-117.239739,1
32.887617,-117.254819,1
32.887617,-117.239116,1
32.887605,-117.251577,1
32.887605,-117.23576,1
32.887594,-117.246479,1
32.887594,-117.234485,1
32.887582,-117.245884,1
32.88757,-117.256887,1
32.88757,-117.24039,1
32.887559,-117.256278,1
32.887559,-117.238946,1
32.887547,-117.255584,1
32.887547,-117.234528,1
32.887535,-117.246139,1
32.887523,-117.256844,1
32.887523,-117.239073,1
32.887512,-117.255641,1
